trust_ppl_17,proud_17,class_17,year_of_birth_17,sex_17,education_17,allow_work_17,avoid_other_race,avoid_alcholics,avoid_immigrants_foreign_workers,avoid_drug_addicts,avoid_homosexuals,avoid_christians,avoid_muslims,avoid_jews,avoid_roma,avoid_none
most can be trusted,not very proud,Lower mdl class,36-44 ̴r,female,mediumlong FE - 3-4 years,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Higher mdl class,45-53 ̴r,male,mediumlong FE - 3-4 years,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Upper class,27-35 ̴r,male,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,"NA",63-71 ̴r,female,9th to 10th grade,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Lower mdl class,54-62 ̴r,male,skilled education,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,"NA",72 ̴r +,female,6th to 8th grade,agree,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,36-44 ̴r,male,short FE - 2-3 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,18-26 ̴r,female,gymnasium or similar,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Working Class,36-44 ̴r,male,skilled education,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Working Class,72 ̴r +,female,skilled education,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,undetermined,Higher mdl class,27-35 ̴r,male,research-education,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,male,mediumlong FE - 3-4 years,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,female,skilled education,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Working Class,27-35 ̴r,female,universitybachelor,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Working Class,27-35 ̴r,female,gymnasium or similar,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,63-71 ̴r,male,skilled education,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,36-44 ̴r,female,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,72 ̴r +,female,short vocational - less than 1-2 years,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Working Class,63-71 ̴r,male,skilled education,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,54-62 ̴r,male,skilled education,dont agree,checked,checked,checked,checked,checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,54-62 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,dont know,63-71 ̴r,male,long FE 5-6 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not at all proud,Upper class,18-26 ̴r,male,long FE 5-6 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Working Class,63-71 ̴r,female,skilled education,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Upper class,18-26 ̴r,male,short FE - 2-3 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,Higher mdl class,27-35 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,18-26 ̴r,female,universitybachelor,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,9th to 10th grade,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,27-35 ̴r,male,long FE 5-6 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,Upper class,18-26 ̴r,female,gymnasium or similar,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,undetermined,Higher mdl class,18-26 ̴r,female,9th to 10th grade,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,"NA",NA,female,NA,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,45-53 ̴r,female,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Higher mdl class,63-71 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,male,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,Upper class,45-53 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,72 ̴r +,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,male,research-education,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,54-62 ̴r,male,long FE 5-6 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,Higher mdl class,63-71 ̴r,female,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Higher mdl class,63-71 ̴r,female,6th to 8th grade,either or,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,female,9th to 10th grade,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,72 ̴r +,female,skilled education,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Working Class,18-26 ̴r,female,9th to 10th grade,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,Lower mdl class,54-62 ̴r,male,skilled education,agree,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,not checked
can't be too careful,very proud,Higher mdl class,63-71 ̴r,female,6th to 8th grade,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,undetermined,Higher mdl class,18-26 ̴r,female,short vocational - less than 1-2 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Lower mdl class,18-26 ̴r,male,skilled education,agree completely,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Working Class,18-26 ̴r,male,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,Upper class,63-71 ̴r,female,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Higher mdl class,72 ̴r +,female,6th to 8th grade,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,27-35 ̴r,male,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Lower mdl class,27-35 ̴r,female,gymnasium or similar,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,72 ̴r +,female,6th to 8th grade,agree,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,not checked
most can be trusted,quite proud,Upper class,36-44 ̴r,female,short FE - 2-3 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,36-44 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,skilled education,agree,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,Working Class,45-53 ̴r,male,short vocational - less than 1-2 years,agree,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,short FE - 2-3 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,Higher mdl class,63-71 ̴r,male,short vocational - less than 1-2 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,Working Class,72 ̴r +,male,skilled education,agree completely,checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,27-35 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,Higher mdl class,27-35 ̴r,male,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,36-44 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,Upper class,45-53 ̴r,female,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,27-35 ̴r,male,long FE 5-6 years,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,"NA",63-71 ̴r,female,short FE - 2-3 years,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,short vocational - less than 1-2 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,Higher mdl class,36-44 ̴r,male,other,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,45-53 ̴r,female,long FE 5-6 years,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,63-71 ̴r,female,9th to 10th grade,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,45-53 ̴r,female,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,54-62 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,72 ̴r +,male,short vocational - less than 1-2 years,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Upper class,36-44 ̴r,female,long FE 5-6 years,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Upper class,45-53 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,54-62 ̴r,male,skilled education,either or,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,Higher mdl class,45-53 ̴r,female,research-education,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,Upper class,72 ̴r +,male,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,18-26 ̴r,male,gymnasium or similar,agree,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,undetermined,"NA",36-44 ̴r,female,skilled education,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,skilled education,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,female,short FE - 2-3 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,63-71 ̴r,male,skilled education,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Higher mdl class,27-35 ̴r,male,other,agree,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,72 ̴r +,male,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,54-62 ̴r,female,mediumlong FE - 3-4 years,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,36-44 ̴r,male,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,Working Class,27-35 ̴r,male,skilled education,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,universitybachelor,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Upper class,63-71 ̴r,female,skilled education,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,36-44 ̴r,female,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Working Class,18-26 ̴r,male,skilled education,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,45-53 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Working Class,36-44 ̴r,female,skilled education,agree,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,63-71 ̴r,male,6th to 8th grade,agree completely,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,63-71 ̴r,female,9th to 10th grade,agree,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,Working Class,27-35 ̴r,male,universitybachelor,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Working Class,54-62 ̴r,male,9th to 10th grade,agree completely,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,quite proud,Upper class,18-26 ̴r,male,gymnasium or similar,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Upper class,63-71 ̴r,female,skilled education,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,63-71 ̴r,female,skilled education,agree completely,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,female,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,36-44 ̴r,male,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,72 ̴r +,male,9th to 10th grade,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Working Class,54-62 ̴r,male,short vocational - less than 1-2 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,male,skilled education,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Upper class,45-53 ̴r,female,gymnasium or similar,agree completely,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,45-53 ̴r,female,universitybachelor,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not at all proud,Higher mdl class,54-62 ̴r,male,9th to 10th grade,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,"NA",18-26 ̴r,male,mediumlong FE - 3-4 years,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,72 ̴r +,male,skilled education,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,63-71 ̴r,female,long FE 5-6 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,Higher mdl class,63-71 ̴r,female,mediumlong FE - 3-4 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,Upper class,18-26 ̴r,female,gymnasium or similar,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,Higher mdl class,63-71 ̴r,male,skilled education,either or,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,quite proud,Lower mdl class,63-71 ̴r,male,skilled education,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,Higher mdl class,18-26 ̴r,male,gymnasium or similar,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,18-26 ̴r,female,long FE 5-6 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,undetermined,Upper class,18-26 ̴r,male,gymnasium or similar,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,female,9th to 10th grade,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,female,short FE - 2-3 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Working Class,72 ̴r +,female,6th to 8th grade,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,36-44 ̴r,male,short FE - 2-3 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Working Class,18-26 ̴r,female,skilled education,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,Higher mdl class,45-53 ̴r,female,skilled education,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Working Class,45-53 ̴r,male,short vocational - less than 1-2 years,agree,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,skilled education,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,54-62 ̴r,male,skilled education,agree,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,not checked
most can be trusted,quite proud,Working Class,72 ̴r +,female,skilled education,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,Higher mdl class,72 ̴r +,female,mediumlong FE - 3-4 years,agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,54-62 ̴r,female,skilled education,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,45-53 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked,not checked
most can be trusted,very proud,Upper class,54-62 ̴r,female,skilled education,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not at all proud,Lower mdl class,63-71 ̴r,male,gymnasium or similar,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,Higher mdl class,45-53 ̴r,female,short FE - 2-3 years,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,very proud,Higher mdl class,72 ̴r +,male,skilled education,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,45-53 ̴r,female,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,45-53 ̴r,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,undetermined,Higher mdl class,36-44 ̴r,female,long FE 5-6 years,NA,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Higher mdl class,54-62 ̴r,female,short vocational - less than 1-2 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Working Class,63-71 ̴r,male,skilled education,agree completely,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,Higher mdl class,27-35 ̴r,female,mediumlong FE - 3-4 years,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,Lower mdl class,72 ̴r +,male,6th to 8th grade,agree completely,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Higher mdl class,72 ̴r +,female,short FE - 2-3 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Upper class,45-53 ̴r,male,long FE 5-6 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,Higher mdl class,72 ̴r +,male,mediumlong FE - 3-4 years,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,Lower mdl class,45-53 ̴r,female,short vocational - less than 1-2 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,Higher mdl class,27-35 ̴r,female,skilled education,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,Upper class,18-26 ̴r,male,universitybachelor,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,Lower mdl class,45-53 ̴r,male,gymnasium or similar,completely dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,Higher mdl class,18-26 ̴r,male,long FE 5-6 years,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,Higher mdl class,54-62 ̴r,male,gymnasium or similar,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Upper class,63-71 ̴r,male,short FE - 2-3 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,Underclass,18-26 ̴r,male,9th to 10th grade,dont agree,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,Lower mdl class,54-62 ̴r,female,short FE - 2-3 years,agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Higher mdl class,54-62 ̴r,female,mediumlong FE - 3-4 years,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,Higher mdl class,27-35 ̴r,male,long FE 5-6 years,completely dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,Lower mdl class,18-26 ̴r,male,gymnasium or similar,dont agree,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,Higher mdl class,72 ̴r +,female,NA,agree completely,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
